	Technique	Algorithm	Classifier	Seed	F1	F2	F3	F4	F5
252	Proposal	rnsga2	FairVotingClassifier	12	0.0238069752359604	0.0033500837520937	0.998407643312102	0.9733333333333332	0.9676351851664012
253	ProposalWeighted	F1_rnsga2	FairVotingClassifier	12	0.0238069752359604	0.0033500837520937	0.998407643312102	0.9733333333333332	0.9676351851664012
254	ProposalWeighted	F2_rnsga2	FairVotingClassifier	12	0.0238069752359604	0.0033500837520937	0.998407643312102	0.9733333333333332	0.9676351851664012
255	ProposalWeighted	F3_rnsga2	FairVotingClassifier	12	0.0238069752359604	0.0033500837520937	0.998407643312102	0.9733333333333332	0.9676351851664012
256	ProposalWeighted	F4_rnsga2	FairVotingClassifier	12	0.0238069752359604	0.0033500837520937	0.998407643312102	0.9733333333333332	0.9676351851664012
257	ProposalWeighted	F5_rnsga2	FairVotingClassifier	12	0.0241527567020738	0.0005410949880488	0.998407643312102	0.9710708898944194	0.9676351851664012
258	AIF360	AdversarialDebiasing	AdversarialDebiasing	12	0.0239860390079158	0.0	1.0	0.9733333333333332	0.969242902208202
259	AIF360	PostProcessingMeta	PostProcessingMeta	12	0.0257442498525603	0.0138888888888888	0.982484076433121	0.9620211161387632	0.969242902208202
260	Voting		VotingClassifier	13	0.0036912894055751	0.0	1.0	0.9800498753117208	0.9695723684210528
261	Fairlearn	false_positive_rate_parity	VotingClassifier	13	0.0557654891640518	0.0017667844522968	1.0	0.9576059850374063	0.9638048245614036
262	Fairlearn	true_positive_rate_parity	VotingClassifier	13	0.0036912894055751	0.0	1.0	0.9800498753117208	0.9695723684210528
263	Fairlearn	equalized_odds	VotingClassifier	13	0.0473887814313346	0.0	1.0	0.9513715710723192	0.950657894736842
264	scikit-lego	DemographicParityClassifier	OneVsRestClassifier	13	0.0036912894055751	0.0	1.0	0.9800498753117208	0.9695723684210528
265	scikit-lego	EqualOpportunityClassifier	OneVsRestClassifier	13	0.0036912894055751	0.0	1.0	0.9800498753117208	0.9695723684210528
266	Proposal	nsga2	FairVotingClassifier	13	0.0035999611471309	0.0017482517482517	0.9991721854304636	0.9800498753117208	0.9687390350877192
267	ProposalWeighted	F1_nsga2	FairVotingClassifier	13	0.0035999611471309	0.0017482517482517	0.9991721854304636	0.9800498753117208	0.9687390350877192
268	ProposalWeighted	F2_nsga2	FairVotingClassifier	13	0.0035999611471309	0.0017482517482517	0.9991721854304636	0.9800498753117208	0.9687390350877192
269	ProposalWeighted	F3_nsga2	FairVotingClassifier	13	0.0035999611471309	0.0017482517482517	0.9991721854304636	0.9800498753117208	0.9687390350877192
270	ProposalWeighted	F4_nsga2	FairVotingClassifier	13	0.0035999611471309	0.0017482517482517	0.9991721854304636	0.9800498753117208	0.9687390350877192
271	ProposalWeighted	F5_nsga2	FairVotingClassifier	13	0.0035999611471309	0.0017482517482517	0.9991721854304636	0.9800498753117208	0.9687390350877192
272	Proposal	rnsga2	FairVotingClassifier	13	0.0036912894055751	0.0	1.0	0.9800498753117208	0.9695723684210528
273	ProposalWeighted	F1_rnsga2	FairVotingClassifier	13	0.0036912894055751	0.0	1.0	0.9800498753117208	0.9695723684210528
274	ProposalWeighted	F2_rnsga2	FairVotingClassifier	13	0.0036912894055751	0.0	1.0	0.9800498753117208	0.9695723684210528
275	ProposalWeighted	F3_rnsga2	FairVotingClassifier	13	0.0036912894055751	0.0	1.0	0.9800498753117208	0.9695723684210528
276	ProposalWeighted	F4_rnsga2	FairVotingClassifier	13	0.0036912894055751	0.0	1.0	0.9800498753117208	0.9695723684210528
277	ProposalWeighted	F5_rnsga2	FairVotingClassifier	13	0.0036912894055751	0.0	1.0	0.9800498753117208	0.9695723684210528
278	AIF360	AdversarialDebiasing	AdversarialDebiasing	13	0.0036912894055751	0.0	1.0	0.9800498753117208	0.9695723684210528
279	AIF360	PostProcessingMeta	PostProcessingMeta	13	0.0044152276295133	0.0077319587628865	0.9817880794701986	0.973877035805548	0.9695723684210528
280	Voting		VotingClassifier	14	0.0163139329805996	0.0	1.0	0.9819444444444444	0.9661016949152542
281	Fairlearn	false_positive_rate_parity	VotingClassifier	14	0.0056158565361019	0.0016638935108153	1.0	0.9708333333333332	0.9614218002224512
282	Fairlearn	true_positive_rate_parity	VotingClassifier	14	0.0163139329805996	0.0	1.0	0.9819444444444444	0.9661016949152542
283	Fairlearn	equalized_odds	VotingClassifier	14	0.0623612037509318	0.0	1.0	0.8722222222222222	0.8721109399075501
284	scikit-lego	DemographicParityClassifier	OneVsRestClassifier	14	0.0163139329805996	0.0	1.0	0.9819444444444444	0.9661016949152542
285	scikit-lego	EqualOpportunityClassifier	OneVsRestClassifier	14	0.0163139329805996	0.0	1.0	0.9819444444444444	0.9661016949152542
286	Proposal	nsga2	FairVotingClassifier	14	0.0163139329805996	0.0	1.0	0.9819444444444444	0.9661016949152542
287	ProposalWeighted	F1_nsga2	FairVotingClassifier	14	0.0166297526762643	0.0049342105263158	0.997605746209098	0.9819444444444444	0.9636182512066448
288	ProposalWeighted	F2_nsga2	FairVotingClassifier	14	0.0163139329805996	0.0	1.0	0.9819444444444444	0.9661016949152542
289	ProposalWeighted	F3_nsga2	FairVotingClassifier	14	0.0165301526812006	0.0036945812807881	0.9952114924181964	0.9798523942352394	0.9627904366371084
290	ProposalWeighted	F4_nsga2	FairVotingClassifier	14	0.0163139329805996	0.0	1.0	0.9819444444444444	0.9661016949152542
291	ProposalWeighted	F5_nsga2	FairVotingClassifier	14	0.0163139329805996	0.0	1.0	0.9819444444444444	0.9661016949152542
292	Proposal	rnsga2	FairVotingClassifier	14	0.0165301526812006	0.0036945812807881	0.9952114924181964	0.9798523942352394	0.9627904366371084
293	ProposalWeighted	F1_rnsga2	FairVotingClassifier	14	0.0165301526812006	0.0036945812807881	0.9952114924181964	0.9798523942352394	0.9627904366371084
294	ProposalWeighted	F2_rnsga2	FairVotingClassifier	14	0.0165301526812006	0.0036945812807881	0.9952114924181964	0.9798523942352394	0.9627904366371084
295	ProposalWeighted	F3_rnsga2	FairVotingClassifier	14	0.0163229813664596	0.000837485473391	0.9936153232242618	0.9777603440260344	0.9627904366371084
296	ProposalWeighted	F4_rnsga2	FairVotingClassifier	14	0.0165301526812006	0.0036945812807881	0.9952114924181964	0.9798523942352394	0.9627904366371084
297	ProposalWeighted	F5_rnsga2	FairVotingClassifier	14	0.0162170542635658	0.0007964484994721	0.9952114924181964	0.9777603440260344	0.9636182512066448
298	AIF360	AdversarialDebiasing	AdversarialDebiasing	14	0.0163139329805996	0.0	1.0	0.9819444444444444	0.9661016949152542
299	AIF360	PostProcessingMeta	PostProcessingMeta	14	0.0148400100781053	0.019774011299435	0.9904229848363928	0.9673000929800092	0.9661016949152542
300	Voting		VotingClassifier	15	0.0168382798304058	0.0	1.0	0.9842931937172774	0.9681020733652312
301	Fairlearn	false_positive_rate_parity	VotingClassifier	15	0.0154277699859747	0.0	1.0	0.9633507853403142	0.9553429027113238
302	Fairlearn	true_positive_rate_parity	VotingClassifier	15	0.0168382798304058	0.0	1.0	0.9842931937172774	0.9681020733652312
303	Fairlearn	equalized_odds	VotingClassifier	15	0.0591115514821236	0.0	1.0	0.8926701570680629	0.8891547049441787
304	scikit-lego	DemographicParityClassifier	OneVsRestClassifier	15	0.0168382798304058	0.0	1.0	0.9842931937172774	0.9681020733652312
305	scikit-lego	EqualOpportunityClassifier	OneVsRestClassifier	15	0.0168382798304058	0.0	1.0	0.9842931937172774	0.9681020733652312
306	Proposal	nsga2	FairVotingClassifier	15	0.0168382798304058	0.0	1.0	0.9842931937172774	0.9681020733652312
307	ProposalWeighted	F1_nsga2	FairVotingClassifier	15	0.0168382798304058	0.0	1.0	0.9842931937172774	0.9681020733652312
308	ProposalWeighted	F2_nsga2	FairVotingClassifier	15	0.0203564670695232	0.0026881720430107	0.9991816693944352	0.9835859652085795	0.9681020733652312
309	ProposalWeighted	F3_nsga2	FairVotingClassifier	15	0.0205210835132094	0.0	1.0	0.9856020942408378	0.9681020733652312
310	ProposalWeighted	F4_nsga2	FairVotingClassifier	15	0.0168382798304058	0.0	1.0	0.9842931937172774	0.9681020733652312
311	ProposalWeighted	F5_nsga2	FairVotingClassifier	15	0.0203564670695232	0.0026881720430107	0.9991816693944352	0.9835859652085795	0.9681020733652312
312	Proposal	rnsga2	FairVotingClassifier	15	0.0168382798304058	0.0	1.0	0.9842931937172774	0.9681020733652312
313	ProposalWeighted	F1_rnsga2	FairVotingClassifier	15	0.0168382798304058	0.0	1.0	0.9842931937172774	0.9681020733652312
314	ProposalWeighted	F2_rnsga2	FairVotingClassifier	15	0.0205210835132094	0.0	1.0	0.9856020942408378	0.9681020733652312
315	ProposalWeighted	F3_rnsga2	FairVotingClassifier	15	0.0205210835132094	0.0	1.0	0.9856020942408378	0.9681020733652312
316	ProposalWeighted	F4_rnsga2	FairVotingClassifier	15	0.0168382798304058	0.0	1.0	0.9842931937172774	0.9681020733652312
317	ProposalWeighted	F5_rnsga2	FairVotingClassifier	15	0.0205210835132094	0.0	1.0	0.9856020942408378	0.9681020733652312
318	AIF360	AdversarialDebiasing	AdversarialDebiasing	15	0.0168382798304058	0.0	1.0	0.9842931937172774	0.9681020733652312
319	AIF360	PostProcessingMeta	PostProcessingMeta	15	0.0212442729684109	0.0	0.997545008183306	0.9842931937172774	0.9657097288676236
320	Voting		VotingClassifier	16	0.0026162790697674	0.0	1.0	0.9785522788203752	0.9669811320754718
321	Fairlearn	false_positive_rate_parity	VotingClassifier	16	0.0414898079020216	0.0	1.0	0.955764075067024	0.959119496855346
322	Fairlearn	true_positive_rate_parity	VotingClassifier	16	0.0026162790697674	0.0	1.0	0.9785522788203752	0.9669811320754718
323	Fairlearn	equalized_odds	VotingClassifier	16	0.0414898079020216	0.0	1.0	0.955764075067024	0.959119496855346
324	scikit-lego	DemographicParityClassifier	OneVsRestClassifier	16	0.0026162790697674	0.0	1.0	0.9785522788203752	0.9669811320754718
325	scikit-lego	EqualOpportunityClassifier	OneVsRestClassifier	16	0.0026162790697674	0.0	1.0	0.9785522788203752	0.9669811320754718
326	Proposal	nsga2	FairVotingClassifier	16	0.0063938618925831	0.0016806722689075	0.9983857949959644	0.979892761394102	0.96615194467912
327	ProposalWeighted	F1_nsga2	FairVotingClassifier	16	0.0063938618925831	0.0016806722689075	0.9983857949959644	0.979892761394102	0.96615194467912
328	ProposalWeighted	F2_nsga2	FairVotingClassifier	16	0.0063938618925831	0.0016806722689075	0.9983857949959644	0.979892761394102	0.96615194467912
329	ProposalWeighted	F3_nsga2	FairVotingClassifier	16	0.0063938618925831	0.0016806722689075	0.9983857949959644	0.979892761394102	0.96615194467912
330	ProposalWeighted	F4_nsga2	FairVotingClassifier	16	0.0063938618925831	0.0016806722689075	0.9983857949959644	0.979892761394102	0.96615194467912
331	ProposalWeighted	F5_nsga2	FairVotingClassifier	16	0.0063938618925831	0.0016806722689075	0.9983857949959644	0.979892761394102	0.96615194467912
332	Proposal	rnsga2	FairVotingClassifier	16	0.0063938618925831	0.0016806722689075	0.9983857949959644	0.979892761394102	0.96615194467912
333	ProposalWeighted	F1_rnsga2	FairVotingClassifier	16	0.0063938618925831	0.0016806722689075	0.9983857949959644	0.979892761394102	0.96615194467912
334	ProposalWeighted	F2_rnsga2	FairVotingClassifier	16	0.0063938618925831	0.0016806722689075	0.9983857949959644	0.979892761394102	0.96615194467912
335	ProposalWeighted	F3_rnsga2	FairVotingClassifier	16	0.0063938618925831	0.0016806722689075	0.9983857949959644	0.979892761394102	0.96615194467912
336	ProposalWeighted	F4_rnsga2	FairVotingClassifier	16	0.0063938618925831	0.0016806722689075	0.9983857949959644	0.979892761394102	0.96615194467912
337	ProposalWeighted	F5_rnsga2	FairVotingClassifier	16	0.0063938618925831	0.0016806722689075	0.9983857949959644	0.979892761394102	0.96615194467912
