Technique	variable	value
Proposal, F3_nsga2	F5	0.6227272727272727
Proposal, F3_nsga2	F5	0.7045112781954888
Proposal, F3_nsga2	F5	0.6428571428571429
Proposal, F3_nsga2	F5	0.7081021087680355
Proposal, F3_nsga2	F5	0.6595588235294119
Proposal, F3_nsga2	F5	0.6557285873192435
Proposal, F3_nsga2	F5	0.6649149149149148
Proposal, F3_nsga2	F5	0.6683060109289617
Proposal, F3_nsga2	F5	0.722140762463343
Proposal, F3_nsga2	F5	0.664349276974416
Proposal, F3_nsga2	F5	0.732843137254902
Proposal, F3_nsga2	F5	0.7620466964729259
Proposal, F3_nsga2	F5	0.7416666666666666
Proposal, F3_nsga2	F5	0.6839622641509434
Proposal, F3_nsga2	F5	0.7592896174863388
Proposal, F3_nsga2	F5	0.6430186546071227
Proposal, F3_nsga2	F5	0.7215676229508197
Proposal, F3_nsga2	F5	0.6817993366500829
Proposal, F3_nsga2	F5	0.6527777777777778
Proposal, F3_nsga2	F5	0.6838942307692308
Proposal, F3_nsga2	F5	0.6104262968669749
Proposal, F3_nsga2	F5	0.6403954802259887
Proposal, F3_nsga2	F5	0.6174136321195145
Proposal, F3_nsga2	F5	0.7186781609195402
Proposal, F3_nsga2	F5	0.5957128614157526
Proposal, F3_rnsga2	F5	0.6532976827094474
Proposal, F3_rnsga2	F5	0.7123015873015872
Proposal, F3_rnsga2	F5	0.6631701631701631
Proposal, F3_rnsga2	F5	0.6637426900584795
Proposal, F3_rnsga2	F5	0.6745283018867925
Proposal, F3_rnsga2	F5	0.6171122994652407
Proposal, F3_rnsga2	F5	0.6330827067669172
Proposal, F3_rnsga2	F5	0.6150793650793651
Proposal, F3_rnsga2	F5	0.7186459489456161
Proposal, F3_rnsga2	F5	0.6720588235294118
Proposal, F3_rnsga2	F5	0.6395995550611792
Proposal, F3_rnsga2	F5	0.6649149149149148
Proposal, F3_rnsga2	F5	0.6683060109289617
Proposal, F3_rnsga2	F5	0.7372922776148582
Proposal, F3_rnsga2	F5	0.6557285873192435
Proposal, F3_rnsga2	F5	0.732843137254902
Proposal, F3_rnsga2	F5	0.7690014903129656
Proposal, F3_rnsga2	F5	0.7305555555555556
Proposal, F3_rnsga2	F5	0.6839622641509434
Proposal, F3_rnsga2	F5	0.7674863387978141
Proposal, F3_rnsga2	F5	0.6430186546071227
Proposal, F3_rnsga2	F5	0.7215676229508197
Proposal, F3_rnsga2	F5	0.6753731343283582
Proposal, F3_rnsga2	F5	0.6597222222222222
Proposal, F3_rnsga2	F5	0.7373798076923077
Proposal, F3_rnsga2	F5	0.6037493579866462
Proposal, F3_rnsga2	F5	0.6483050847457626
Proposal, F3_rnsga2	F5	0.603874883286648
Proposal, F3_rnsga2	F5	0.6431034482758621
Proposal, F3_rnsga2	F5	0.5583250249252243
Proposal, F4_nsga2	F5	0.6466131907308378
Proposal, F4_nsga2	F5	0.6964285714285714
Proposal, F4_nsga2	F5	0.6783216783216782
Proposal, F4_nsga2	F5	0.6530214424951266
Proposal, F4_nsga2	F5	0.5657894736842105
Proposal, F4_nsga2	F5	0.5491978609625668
Proposal, F4_nsga2	F5	0.6704260651629073
Proposal, F4_nsga2	F5	0.628968253968254
Proposal, F4_nsga2	F5	0.7228079911209767
Proposal, F4_nsga2	F5	0.6294117647058823
Proposal, F4_nsga2	F5	0.6309788654060067
Proposal, F4_nsga2	F5	0.6151151151151152
Proposal, F4_nsga2	F5	0.6683060109289617
Proposal, F4_nsga2	F5	0.722140762463343
Proposal, F4_nsga2	F5	0.7127363737486095
Proposal, F4_nsga2	F5	0.6151960784313725
Proposal, F4_nsga2	F5	0.7399403874813711
Proposal, F4_nsga2	F5	0.7444444444444445
Proposal, F4_nsga2	F5	0.6229784366576819
Proposal, F4_nsga2	F5	0.7756830601092896
Proposal, F4_nsga2	F5	0.4926512153759186
Proposal, F4_nsga2	F5	0.6785348360655737
Proposal, F4_nsga2	F5	0.6817993366500829
Proposal, F4_nsga2	F5	0.5555555555555556
Proposal, F4_nsga2	F5	0.6838942307692308
Proposal, F4_nsga2	F5	0.6140215716486904
Proposal, F4_nsga2	F5	0.648587570621469
Proposal, F4_nsga2	F5	0.6174136321195145
Proposal, F4_nsga2	F5	0.7186781609195402
Proposal, F4_nsga2	F5	0.5894815553339979
Proposal, F4_rnsga2	F5	0.6532976827094474
Proposal, F4_rnsga2	F5	0.7043650793650793
Proposal, F4_rnsga2	F5	0.6707459207459207
Proposal, F4_rnsga2	F5	0.6637426900584795
Proposal, F4_rnsga2	F5	0.6876861966236345
Proposal, F4_rnsga2	F5	0.6171122994652407
Proposal, F4_rnsga2	F5	0.6791979949874687
Proposal, F4_rnsga2	F5	0.6150793650793651
Proposal, F4_rnsga2	F5	0.728079911209767
Proposal, F4_rnsga2	F5	0.6941176470588235
Proposal, F4_rnsga2	F5	0.6395995550611792
Proposal, F4_rnsga2	F5	0.6784284284284284
Proposal, F4_rnsga2	F5	0.6765027322404371
Proposal, F4_rnsga2	F5	0.7372922776148582
Proposal, F4_rnsga2	F5	0.6977196885428254
Proposal, F4_rnsga2	F5	0.732843137254902
Proposal, F4_rnsga2	F5	0.7468951813214109
Proposal, F4_rnsga2	F5	0.736111111111111
Proposal, F4_rnsga2	F5	0.621967654986523
Proposal, F4_rnsga2	F5	0.7674863387978141
Proposal, F4_rnsga2	F5	0.667608818541549
Proposal, F4_rnsga2	F5	0.7297643442622951
Proposal, F4_rnsga2	F5	0.6817993366500829
Proposal, F4_rnsga2	F5	0.625
Proposal, F4_rnsga2	F5	0.7259615384615384
Proposal, F4_rnsga2	F5	0.5885978428351311
Proposal, F4_rnsga2	F5	0.6483050847457626
Proposal, F4_rnsga2	F5	0.603874883286648
Proposal, F4_rnsga2	F5	0.6853448275862069
Proposal, F4_rnsga2	F5	0.5583250249252243
Proposal, F5_nsga2	F5	0.6314616755793226
Proposal, F5_nsga2	F5	0.7043650793650793
Proposal, F5_nsga2	F5	0.6631701631701631
Proposal, F5_nsga2	F5	0.6530214424951266
Proposal, F5_nsga2	F5	0.5563555114200596
Proposal, F5_nsga2	F5	0.558288770053476
Proposal, F5_nsga2	F5	0.6616541353383458
Proposal, F5_nsga2	F5	0.636904761904762
