	Technique	Algorithm	Classifier	Seed	F1	F2	F3	F4	F5
86	Proposal	nsga2	FairVotingClassifier	4	0.0225274725274725	0.0311144096825759	0.9644128113879004	0.8045460475535033	0.738725581467517
87	ProposalWeighted	F1_nsga2	FairVotingClassifier	4	0.0095821044267571	0.0866226354495219	0.9402135231316726	0.8046801186412577	0.6974506974506975
88	ProposalWeighted	F2_nsga2	FairVotingClassifier	4	0.0302204552325066	0.0177701294507881	0.98220640569395	0.8000963988415597	0.7548546137255815
89	ProposalWeighted	F3_nsga2	FairVotingClassifier	4	0.0095821044267571	0.0866226354495219	0.9402135231316726	0.8046801186412577	0.6974506974506975
90	ProposalWeighted	F4_nsga2	FairVotingClassifier	4	0.0367635716587664	0.0194941476080267	0.987188612099644	0.7791258535000788	0.7368423094229545
91	ProposalWeighted	F5_nsga2	FairVotingClassifier	4	0.0095821044267571	0.0866226354495219	0.9402135231316726	0.8046801186412577	0.6974506974506975
92	Proposal	rnsga2	FairVotingClassifier	4	0.0286663811563169	0.0181288202664029	0.9715302491103204	0.8046801186412577	0.7590420332355816
93	ProposalWeighted	F1_rnsga2	FairVotingClassifier	4	0.027321564569395	0.0110363186641812	0.9715302491103204	0.8046801186412577	0.7552754891464568
94	ProposalWeighted	F2_rnsga2	FairVotingClassifier	4	0.0286663811563169	0.0181288202664029	0.9715302491103204	0.8046801186412577	0.7590420332355816
95	ProposalWeighted	F3_rnsga2	FairVotingClassifier	4	0.0271303299972441	0.0261304960100141	0.9750889679715302	0.8046801186412577	0.7540128628838306
96	ProposalWeighted	F4_rnsga2	FairVotingClassifier	4	0.0280569726672063	0.0235182849936949	0.9750889679715302	0.8056168867911404	0.7586211578147062
97	ProposalWeighted	F5_rnsga2	FairVotingClassifier	4	0.027321564569395	0.0110363186641812	0.9715302491103204	0.8046801186412577	0.7552754891464568
98	AIF360	AdversarialDebiasing	AdversarialDebiasing	4	0.036672586663118	0.0480219749882671	1.0	0.7884242060348533	0.7627659079271983
99	AIF360	PostProcessingMeta	PostProcessingMeta	4	0.0047252199737325	0.1349241658240646	0.9466192170818504	0.7879448812177534	0.6164059954382535
100	Voting		VotingClassifier	5	0.0492506761628705	0.0256636826670781	0.9928520371694068	0.7753051467315983	0.7612579188408573
101	Fairlearn	false_positive_rate_parity	VotingClassifier	5	0.0368922596254465	0.2090738209159262	0.9942816297355254	0.7753051467315983	0.713617214802049
102	Fairlearn	true_positive_rate_parity	VotingClassifier	5	0.0378983819030499	0.4395933014354067	0.9949964260185848	0.7753051467315983	0.6867170919303621
103	Fairlearn	equalized_odds	VotingClassifier	5	0.0639618257988965	0.1921163279607568	0.9942816297355254	0.7177750872075432	0.7005062473071952
104	scikit-lego	DemographicParityClassifier	OneVsRestClassifier	5	0.0492347940531188	0.0121022158373601	0.9835596854896356	0.7629724430836794	0.7468843250833773
105	scikit-lego	EqualOpportunityClassifier	OneVsRestClassifier	5	0.0492347940531188	0.0121022158373601	0.9835596854896356	0.7629724430836794	0.7468843250833773
106	Proposal	nsga2	FairVotingClassifier	5	0.0357744525187241	0.0358499071386069	0.9764117226590422	0.7966665239483037	0.7584673751735362
